EMPLOYEE_ID,FIRST_NAME,LAST_NAME,COUNTRY,GENDER,PHONE_NUMBER,HIRE_DATE,SALARY,DEPARTMENT
4758965,Dhruv,Prasad,India,Male,515.123.4567,37789,24000,Executive
4758966,Tanvi,Kapoor,India,Female,515.123.4568,38616,17000,Executive
4758967,Charlie,Hall,UK,Male,515.123.4569,36904,17000,Executive
4758968,Violet,Hill,UK,Female,590.423.4567,38720,9000,IT
4758969,Simran,Ahuja,India,Female,590.423.4568,39223,6000,IT
4758970,Rosie,Hughes,UK,Female,590.423.4569,38528,4800,IT
4758971,Kavitha,Pillai,India,Female,590.423.4560,38753,4800,IT
4758972,Riya,Sharma,India,Female,590.423.5567,39120,4200,IT
4758973,Eleanor,Martin,UK,Female,515.124.4569,37485,12008,Finance
4758974,Krish,Banerjee,India,Male,515.124.4169,37484,9000,Finance
4758975,Pranav,Das,India,Male,515.124.4269,38623,8200,Finance
4758976,Oscar,Clark,UK,Male,515.124.4369,38625,7700,Finance
4758977,Emily,Taylor,UK,Female,515.124.4469,38783,7800,Finance
4758978,Siddharth,Nair,India,Male,515.124.4567,39423,6900,Finance
4758979,Darcy,Green,UK,Female,515.127.4561,37597,11000,Human Resources
4758980,Aarav,Choudhary,India,Male,515.127.4562,37759,3100,Human Resources
4758981,Priya,Patel,India,Female,515.127.4563,38710,2900,Human Resources
4758982,Niamh,White,UK,Female,515.127.4564,38557,2800,Human Resources
4758983,Sophie,Thomas,UK,Female,515.127.4565,39036,2600,Human Resources
4758984,Ishita,Nair,India,Female,515.127.4566,39304,2500,Human Resources
4758985,Orla,Walsh,UK,Female,650.123.1234,38186,8000,Finance
4758986,Manav,Joshi,India,Male,650.123.2234,38452,8200,Finance
4758987,Bella,Rose,UK,Female,650.123.3234,37742,7900,Finance
4758988,Tanya,Das,India,Female,650.123.4234,38635,6500,Finance
4758989,Francesca,Robinson,UK,Female,650.123.5234,39402,5800,Finance
4758990,Evelyn,Coleman,UK,Female,650.124.1214,38549,3200,Finance
4758991,Millie,Matthews,UK,Female,650.124.1224,38988,2700,Supply Chain
4758992,Veer,Menon,India,Male,650.124.1334,39096,2400,Supply Chain
4758993,Oliver,Smith,UK,Male,650.124.1434,39515,2200,Supply Chain
4758994,Jack,Walker,UK,Male,650.124.5234,38584,3300,Finance
4758995,Holly,Harris,UK,Female,650.124.6234,38655,2800,Finance
4758996,Shruti,Mehta,India,Female,650.124.7234,38399,2500,Finance
4758997,Ankita,Narayan,India,Female,650.124.8234,39182,2100,Administration
4758998,Matilda,Webb,UK,Female,650.127.1934,38152,3300,Administration
4758999,Kavya,Narayan,India,Female,650.127.1834,38955,2900,Supply Chain
